packetsReceivedVideo,roundTripTimeAudio,bytesReceived,jitterAudio,bytesSentAudio,networkType,packetsReceivedAudio,bytesReceivedVideo,roomId,bytesSentVideo,date,bytesSent,packetsLostAudio,bytesReceivedAudio,availableOutgoingBitrate,time,jitterVideo,roundTripTimeVideo,packetsLostVideo,timestamp
9027,12.679999999999998,10157710,6,177868,4g,2580,9518496,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,7399657,2025-04-13 21:56:35.087000+00:00,8001776,0,173003,825658,2025-04-13 21:56:35.231000+00:00,10.0,22.156,0,1744581395085.915
9416,103.241,10599079,4,184618,4g,2680,9932561,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,7562887,2025-04-13 21:56:37.087000+00:00,8183736,0,181103,593962,2025-04-13 21:56:37.226000+00:00,6.0,177.03199999999998,0,1744581397085.092
9834,103.241,11075855,8,191456,4g,2780,10381313,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,7674177,2025-04-13 21:56:39.087000+00:00,8312840,0,189253,623982,2025-04-13 21:56:39.230000+00:00,8.0,15.366,0,1744581399084.838
10240,15.35,11535624,9,199271,4g,2880,10812822,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,7807891,2025-04-13 21:56:41.085000+00:00,8465667,0,197419,683295,2025-04-13 21:56:41.226000+00:00,12.0,31.784,0,1744581401083.998
10603,15.35,11949705,5,206395,4g,2979,11200838,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,7962083,2025-04-13 21:56:43.086000+00:00,8638607,0,204912,749122,2025-04-13 21:56:43.224000+00:00,10.0,29.175,0,1744581403083.852
10952,15.35,12348400,12,213712,4g,3080,11574087,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,8122665,2025-04-13 21:56:45.085000+00:00,8818466,0,212476,805388,2025-04-13 21:56:45.235000+00:00,56.0,126.45,0,1744581405083.84
11258,53.589,12699225,27,220949,4g,3169,11902441,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,8290783,2025-04-13 21:56:47.086000+00:00,9005857,0,219127,863548,2025-04-13 21:56:47.235000+00:00,75.0,25.391000000000002,0,1744581407084.683
11528,53.589,13014363,10,228400,4g,3280,12193437,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,8489582,2025-04-13 21:56:49.086000+00:00,9226011,0,227595,1002954,2025-04-13 21:56:49.226000+00:00,89.0,16.296,1,1744581409084.639
11795,53.589,13324282,8,235719,4g,3380,12480525,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,8687174,2025-04-13 21:56:51.087000+00:00,9443876,0,235168,1149444,2025-04-13 21:56:51.232000+00:00,62.0,22.201999999999998,1,1744581411085.162
12208,11.046999999999999,13799155,3,242807,4g,3480,12927424,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,8935024,2025-04-13 21:56:53.086000+00:00,9713934,0,242798,1077496,2025-04-13 21:56:53.228000+00:00,38.0,26.352,1,1744581413084.722
12590,11.046999999999999,14232588,4,250084,4g,3580,13333734,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,9162699,2025-04-13 21:56:55.086000+00:00,9963176,0,250415,1165350,2025-04-13 21:56:55.229000+00:00,25.0,10.834,1,1744581415084.664
12978,13.214,14673975,6,257458,4g,3680,13748178,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,9420010,2025-04-13 21:56:57.088000+00:00,10242811,0,257874,1236230,2025-04-13 21:56:57.225000+00:00,13.0,19.363,1,1744581417086.211
13320,13.214,15063714,8,265167,4g,3780,14112332,de3fc519-2c96-4ee2-aeb7-81892f8f93d5,9712149,2025-04-13 21:56:59.087000+00:00,10559087,0,265673,1300263,2025-04-13 21:56:59.227000+00:00,19.0,35.553000000000004,1,1744581419085.568
