"Packet","Sequence","Delta (ms)","Jitter (ms)","Skew","Bandwidth","Marker","Status"
"192.168.0.7:65341 → 142.250.82.213:3478 (0xa45e6a15)"
1738,975,0,0,0,1.272,"SET","OK"
1750,976,47.67699999999968,0,0,3.008,"","OK"
1770,978,38.3859999999986,0,0,4.656,"","Wrong sequence number"
1779,979,23.885999999998603,0,0,6.368,"","OK"
1780,980,1.103000000002794,0,0,8.168,"","OK"
1781,981,1.1539999999986321,0,0,9.96,"","OK"
1785,982,15.867000000002008,0,0,11.8,"","OK"
1789,983,20.235999999997148,0,0,13.712,"","OK"
1793,984,20.398000000001048,0,0,15.624,"","OK"
1799,986,40.76800000000003,0,0,17.304,"","Wrong sequence number"
1800,987,19.327000000001135,0,0,19,"","OK"
1803,988,20.394000000000233,0,0,20.744,"","OK"
1805,989,19,0,0,22.488,"","OK"
1813,990,27.273999999997613,0,0,24.328,"","OK"
1816,991,13.457000000002154,0,0,26.208,"","OK"
1819,992,21.511999999998807,0,0,28.064,"","OK"
1821,993,18.188999999998487,0,0,29.872,"","OK"
1826,994,20.273000000001048,0,0,31.672,"","OK"
1829,995,20.418000000001484,0,0,33.632,"","OK"
1832,996,20.233000000000175,0,0,35.656,"","OK"
1835,998,40.840000000000146,0,0,37.704,"","Wrong sequence number"
1838,999,18.217000000000553,0,0,39.616,"","OK"
1841,1000,20.37199999999939,0,0,41.416,"","OK"
1845,1001,20.338999999999942,0,0,43.168,"","OK"
1850,1002,19.038000000000466,0,0,44.848,"","OK"
1857,1003,24.67199999999866,0,0,46.544,"","OK"
1861,1004,15.680000000000291,0,0,48.376,"","OK"
1864,1005,20.367999999998574,0,0,50.256,"","OK"
1868,1006,19.314000000002125,0,0,52.064,"","OK"
1878,1007,41.59899999999834,0,0,53.76,"","OK"
1882,1008,6.81000000000131,0,0,55.384,"","OK"
1884,1009,11.419999999998254,0,0,57.048,"","OK"
1899,1011,40.572000000000116,0,0,58.872,"","Wrong sequence number"
1903,1012,20.470000000001164,0,0,60.704,"","OK"
1910,1013,23.526999999998225,0,0,62.496,"","OK"
1915,1015,38.58700000000317,0,0,64.248,"","Wrong sequence number"
1919,1017,43.8269999999975,0,0,65.912,"","Wrong sequence number"
1924,1018,12.40899999999965,0,0,67.624,"","OK"
1926,1019,20.351000000002387,0,0,69.472,"","OK"
1930,1020,20.438999999998487,0,0,71.392,"","OK"
1936,1021,20.367999999998574,0,0,73.28,"","OK"
1939,1022,20.437000000001717,0,0,75.144,"","OK"
1942,1023,20.40599999999904,0,0,76.96,"","OK"
1945,1025,38.61200000000099,0,0,78.904,"","Wrong sequence number"
1950,1026,22.68500000000131,0,0,79.712,"","OK"
1954,1027,18.066999999999098,0,0,81.608,"","OK"
1959,1028,21.44499999999971,0,0,81.736,"","OK"
1970,1029,19.070000000003347,0,0,83.576,"","OK"
1972,1030,18.13499999999476,0,0,83.712,"","OK"
1980,1031,26.077000000004773,0,0,80.2,"","OK"
1987,1032,13.611999999993714,0,0,81.992,"","OK"
1998,1033,20.44499999999971,0,0,82.008,"","OK"
2011,1035,81.43700000000536,0,0,76.6,"","Wrong sequence number"
2014,1036,11.31699999999546,0,0,78.44,"","OK"
2015,1037,2.286000000000058,0,0,80.368,"","OK"
2026,1038,63.33100000000559,0,0,76.904,"","OK"
2027,1039,1.1089999999967404,0,0,78.696,"","OK"
2038,1040,55.36000000000058,0,0,74.944,"","OK"
2041,1041,13.580000000001746,0,0,74.984,"","OK"
2044,1042,2.235000000000582,0,0,76.88,"","OK"
2050,1043,30.745999999999185,0,0,76.792,"","OK"
2051,1044,3.4029999999984284,0,0,76.624,"","OK"
2063,1045,61.31199999999808,0,0,74.472,"","OK"
2064,1046,1.125,0,0,76.232,"","OK"
2072,1047,40.70300000000134,0,0,74.4,"","OK"
2074,1048,12.489000000001397,0,0,76.104,"","OK"
2075,1049,0.027000000001862645,0,0,77.816,"","OK"
2085,1050,47.70999999999913,0,0,74.336,"","OK"
2087,1051,11.263999999995576,0,0,76.12,"","OK"
2098,1052,51.150000000001455,0,0,74.296,"","OK"
2099,1053,2.2710000000006403,0,0,76.224,"","OK"
2105,1054,18.031000000002678,0,0,74.768,"","OK"
2112,1055,38.591999999996915,0,0,74.92,"","OK"
2113,1056,1.0299999999988358,0,0,76.76,"","OK"
2130,1057,51.13799999999901,0,0,74.952,"","OK"
2133,1058,12.523000000001048,0,0,74.976,"","OK"
2141,1059,47.68300000000454,0,0,75,"","OK"
2143,1061,12.375999999996566,0,0,76.696,"","Wrong sequence number"
2152,1062,38.447000000000116,0,0,75.056,"","OK"
2162,1064,40.83299999999872,0,0,73.048,"","Wrong sequence number"
2168,1065,26.014000000002852,0,0,72.896,"","OK"
2178,1066,34.99799999999959,0,0,70.912,"","OK"
2179,1067,2.279999999998836,0,0,72.672,"","OK"
2184,1068,22.707000000002154,0,0,74.544,"","OK"
2195,1069,54.46099999999569,0,0,70.528,"","OK"
2199,1070,12.453000000001339,0,0,70.536,"","OK"
2214,1071,60.046000000002095,0,0,66.96,"","OK"
2216,1072,1.1390000000028522,0,0,68.768,"","OK"
2230,1073,60.13699999999517,0,0,66.888,"","OK"
2240,1075,53.04699999999866,0,0,68.192,"","Wrong sequence number"
2241,1076,3.4320000000006985,0,0,68.352,"","OK"
2255,1077,66.70700000000215,0,0,66.392,"","OK"
2267,1079,56.654999999998836,0,0,64.52,"","Wrong sequence number"
2270,1080,12.53399999999965,0,0,64.464,"","OK"
2271,1081,1.1520000000018626,0,0,66.136,"","OK"
2285,1082,70.13500000000204,0,0,60.344,"","OK"
2288,1083,2.305000000000291,0,0,62.08,"","OK"
2290,1084,2.269000000000233,0,0,63.952,"","OK"
2299,1086,47.758999999998196,0,0,62.304,"","Wrong sequence number"
2309,1088,41.93600000000151,0,0,59.008,"","Wrong sequence number"
2318,1090,29.396999999997206,0,0,60.888,"","Wrong sequence number"
2333,1092,53.254000000000815,0,0,59.2,"","Wrong sequence number"
2336,1093,12.415999999997439,0,0,60.976,"","OK"
2347,1095,55.70799999999872,0,0,57.064,"","Wrong sequence number"
2349,1096,2.2630000000062864,0,0,58.776,"","OK"
2360,1097,29.394000000000233,0,0,56.76,"","OK"
2365,1098,11.458999999995285,0,0,58.448,"","OK"
2382,1099,44.8859999999986,0,0,56.456,"","OK"
2385,1100,11.268000000003667,0,0,58.04,"","OK"
2388,1101,12.515999999995984,0,0,59.704,"","OK"
2392,1102,2.15400000000227,0,0,61.368,"","OK"
2401,1103,48.76499999999942,0,0,59.496,"","OK"
2402,1104,1.1339999999981956,0,0,61.16,"","OK"
2408,1105,26.249000000003434,0,0,61.104,"","OK"
2411,1106,13.59599999999773,0,0,62.76,"","OK"
2412,1107,2.2600000000020373,0,0,64.432,"","OK"
2421,1108,43.07800000000134,0,0,62.616,"","OK"
2423,1109,2.260999999998603,0,0,64.272,"","OK"
2436,1111,40.86699999999837,0,0,62.448,"","Wrong sequence number"
2437,1113,2.2770000000018626,0,0,64.08,"","Wrong sequence number"
2441,1114,11.305999999996857,0,0,63.872,"","OK"
2442,1115,1.147000000004482,0,0,65.52,"","OK"
2449,1116,36.21399999999994,0,0,67.128,"","OK"
2451,1117,2.290000000000873,0,0,68.752,"","OK"
2457,1119,30.294999999998254,0,0,66.624,"","Wrong sequence number"
2458,1120,2.2989999999990687,0,0,68.336,"","OK"
2460,1121,6.762000000002445,0,0,70.056,"","OK"
2461,1122,2.2730000000010477,0,0,71.752,"","OK"
2466,1124,17.995999999999185,0,0,73.488,"","Wrong sequence number"
2472,1125,28.36200000000099,0,0,71.472,"","OK"
2476,1126,3.2159999999930733,0,0,73.256,"","OK"
2477,1127,2.2920000000012806,0,0,74.896,"","OK"
2485,1128,18.230999999999767,0,0,76.56,"","OK"
2490,1130,4.542000000001281,0,0,78.248,"","Wrong sequence number"
2494,1131,18.131000000001222,0,0,79.888,"","OK"
2495,1132,1.1299999999973807,0,0,81.496,"","OK"
2497,1133,2.2950000000055297,0,0,83.176,"","OK"
2498,1134,11.375999999996566,0,0,83.112,"","OK"
2503,1135,20.46600000000035,0,0,84.744,"","OK"
2510,1136,20.105999999999767,0,0,86.384,"","OK"
2513,1137,19.349999999998545,0,0,84.784,"","OK"
2516,1138,20.281999999999243,0,0,86.424,"","OK"
2520,1139,19.139999999999418,0,0,88.056,"","OK"
2530,1140,21.513000000006286,0,0,87.888,"","OK"
2534,1141,18.119999999995343,0,0,89.56,"","OK"
2539,1142,21.45799999999872,0,0,91.256,"","OK"
2547,1143,20.427000000003318,0,0,91.152,"","OK"
2552,1144,19.256000000001222,0,0,89.416,"","OK"
2559,1145,19.25999999999476,0,0,91.024,"","OK"
2573,1147,51.013000000006286,0,0,87.28,"","Wrong sequence number"
2577,1148,10.265999999995984,0,0,88.808,"","OK"
2582,1149,19.315999999998894,0,0,90.384,"","OK"
2586,1150,19.317000000002736,0,0,90.104,"","OK"
2590,1151,21.1929999999993,0,0,91.792,"","OK"
2596,1153,43.091999999996915,0,0,91.664,"","Wrong sequence number"
2601,1154,15.804000000003725,0,0,91.488,"","OK"
2605,1155,20.25499999999738,0,0,93.12,"","OK"
2606,1156,20.476000000002387,0,0,92.952,"","OK"
2610,1157,21.58299999999872,0,0,92.968,"","OK"
2613,1158,18.131000000001222,0,0,94.872,"","OK"
2616,1159,21.550999999999476,0,0,96.68,"","OK"
2619,1160,19.073000000003958,0,0,94.976,"","OK"
2623,1161,19.289999999993597,0,0,95.168,"","OK"
2626,1162,20.448000000003958,0,0,95.256,"","OK"
2628,1163,19.297999999995227,0,0,96.968,"","OK"
2631,1164,21.577000000004773,0,0,97,"","OK"
2634,1165,19.299999999995634,0,0,93.816,"","OK"
2637,1166,19.20300000000134,0,0,95.584,"","OK"
2644,1168,43.01800000000367,0,0,94.24,"","Wrong sequence number"
2646,1169,18.213999999999942,0,0,94.576,"","OK"
2651,1170,24.89299999999639,0,0,93.216,"","OK"
2654,1171,17.10399999999936,0,0,95.256,"","OK"
2656,1172,17.86200000000099,0,0,94.048,"","OK"
2665,1173,23.736000000004424,0,0,95.92,"","OK"
2673,1174,17.04899999999907,0,0,94.368,"","OK"
2675,1175,18.129000000000815,0,0,92.816,"","OK"
2679,1176,21.360000000000582,0,0,94.688,"","OK"
2683,1177,19.24899999999616,0,0,93.168,"","OK"
2686,1178,20.286000000000058,0,0,94.896,"","OK"
2688,1179,22.508999999998196,0,0,89.936,"","OK"
2691,1180,18.185000000004948,0,0,89.944,"","OK"
2694,1181,19.156999999999243,0,0,89.944,"","OK"
2697,1182,19.112999999997555,0,0,88.2,"","OK"
2701,1183,20.419000000001688,0,0,86.592,"","OK"
2706,1185,40.766999999999825,0,0,79.984,"","Wrong sequence number"
2709,1186,19.286000000000058,0,0,81.64,"","OK"
2710,1187,20.364000000001397,0,0,80.048,"","OK"
2717,1188,19.34599999999773,0,0,81.76,"","OK"
2720,1189,19.133999999998196,0,0,81.84,"","OK"
2724,1191,40.64800000000105,0,0,78.656,"","Wrong sequence number"
2726,1192,20.374000000003434,0,0,80.512,"","OK"
2733,1194,40.92699999999604,0,0,77.208,"","Wrong sequence number"
2739,1196,40.4429999999993,0,0,77.568,"","Wrong sequence number"
2742,1197,19.266999999999825,0,0,79.4,"","OK"
2747,1198,18.02400000000489,0,0,79.72,"","OK"
2751,1199,21.49899999999616,0,0,80.008,"","OK"
2754,1200,20.211999999999534,0,0,78.496,"","OK"
2760,1201,20.190999999998894,0,0,80.256,"","OK"
2763,1202,19.169000000001688,0,0,80.424,"","OK"
2767,1203,21.574000000000524,0,0,82.184,"","OK"
2769,1204,19.296000000002095,0,0,80.432,"","OK"
2771,1205,19.258999999998196,0,0,82.144,"","OK"
2775,1207,40.61699999999837,0,0,80.48,"","Wrong sequence number"
2779,1208,19.22200000000157,0,0,80.264,"","OK"
2781,1209,20.385000000002037,0,0,80.016,"","OK"
2783,1210,20.401999999994587,0,0,79.88,"","OK"
2787,1211,21.197000000000116,0,0,77.992,"","OK"
2788,1212,18.095000000001164,0,0,79.76,"","OK"
2791,1213,19.2300000000032,0,0,79.68,"","OK"
2793,1214,21.504000000000815,0,0,79.624,"","OK"
2795,1215,19.22899999999936,0,0,79.648,"","OK"
2797,1216,20.330000000001746,0,0,77.88,"","OK"
2798,1217,20.29699999999866,0,0,79.688,"","OK"
2801,1218,20.29099999999744,0,0,81.488,"","OK"
2802,1219,19.15299999999843,0,0,81.28,"","OK"
2803,1220,20.391999999999825,0,0,81.032,"","OK"
2805,1221,20.139999999999418,0,0,80.904,"","OK"
2806,1222,20.389000000002852,0,0,80.728,"","OK"
2807,1223,19.264000000002852,0,0,80.512,"","OK"
