"Packet","Sequence","Delta (ms)","Jitter (ms)","Skew","Bandwidth","Marker","Status"
"142.250.82.213:3478 → 192.168.0.23:55344 (0x00000000)"
2207,1,0,0,0,0.52,"","OK"
2208,2,0.0009999999992942321,0,0,2.824,"","OK"
2209,3,0.0010000000002037268,0,0,5.128,"","OK"
2210,4,0.0010000000002037268,0,0,7.432,"","OK"
2211,5,0.0010000000002037268,0,0,9.736,"","OK"
2212,6,0.0009999999992942321,0,0,12.04,"","OK"
2213,7,0.0010000000002037268,0,0,14.344,"","OK"
2214,8,0.0010000000002037268,0,0,16.648,"","OK"
2220,9,20.292999999999665,0,0,18.952,"","OK"
2221,10,0.0020000000004074536,0,0,19.608,"","OK"
2222,11,0.0010000000002037268,0,0,21.912,"","OK"
2223,12,0.0009999999992942321,0,0,24.216,"","OK"
2224,13,0.0010000000002037268,0,0,26.52,"","OK"
2225,14,0.0010000000002037268,0,0,28.824,"","OK"
2226,15,0,0,0,31.128,"","OK"
2227,16,0.0010000000002037268,0,0,33.432,"","OK"
2248,17,32.79500000000007,0,0,35.232,"","OK"
2321,18,145.58399999999983,0,0,35.752,"","OK"
2322,19,2.8809999999994034,0,0,38.056,"","OK"
2323,20,0.0010000000002037268,0,0,40.36,"","OK"
2324,21,0.0010000000002037268,0,0,42.664,"","OK"
2325,22,0.0010000000002037268,0,0,44.968,"","OK"
2326,23,0.0010000000002037268,0,0,47.272,"","OK"
2327,24,0,0,0,49.576,"","OK"
2328,25,0.0009999999992942321,0,0,51.88,"","OK"
2329,26,0.0010000000002037268,0,0,54.184,"","OK"
2330,27,0.0010000000002037268,0,0,56.488,"","OK"
2331,28,0,0,0,58.792,"","OK"
2332,29,1.212999999999738,0,0,61.096,"","OK"
2333,30,0,0,0,63.4,"","OK"
2334,31,0.0020000000004074536,0,0,65.704,"","OK"
2335,32,0,0,0,68.008,"","OK"
2336,33,0.0010000000002037268,0,0,70.312,"","OK"
2337,34,0.0009999999992942321,0,0,72.616,"","OK"
2338,35,0.0010000000002037268,0,0,74.92,"","OK"
2339,36,0.0010000000002037268,0,0,77.224,"","OK"
2340,37,0.0010000000002037268,0,0,79.528,"","OK"
2374,38,14.130999999999403,0,0,81.832,"","OK"
2375,39,0,0,0,84.136,"","OK"
2376,40,0.0010000000002037268,0,0,86.44,"","OK"
2377,41,1.9700000000002547,0,0,88.744,"","OK"
2378,42,0.001999999999497959,0,0,91.048,"","OK"
2379,43,0,0,0,91.888,"","OK"
2380,44,0.0010000000002037268,0,0,94.192,"","OK"
2381,45,0.0010000000002037268,0,0,96.496,"","OK"
2382,46,0.0010000000002037268,0,0,98.8,"","OK"
2383,47,0.0010000000002037268,0,0,101.104,"","OK"
2384,48,0,0,0,103.408,"","OK"
2385,49,0.0009999999992942321,0,0,105.712,"","OK"
2386,50,0.0010000000002037268,0,0,108.016,"","OK"
2387,51,0.0010000000002037268,0,0,110.32,"","OK"
2388,52,0.0010000000002037268,0,0,112.624,"","OK"
2389,53,0.0009999999992942321,0,0,114.928,"","OK"
