"Packet","Sequence","Delta (ms)","Jitter (ms)","Skew","Bandwidth","Marker","Status"
"142.250.82.213:3478 → 192.168.0.23:65489 (0x00000000)"
2993,98,0.0010000000002037268,0,0,216.2,"","OK"
2994,99,0.0010000000002037268,0,0,218.504,"","OK"
2995,100,0,0,0,220.808,"","OK"
2996,101,0.0009999999992942321,0,0,223.112,"","OK"
2997,102,0.0010000000002037268,0,0,225.416,"","OK"
2998,103,0.0010000000002037268,0,0,227.72,"","OK"
2999,104,0.0010000000002037268,0,0,230.024,"","OK"
3000,105,0.0010000000002037268,0,0,232.328,"","OK"
3001,106,0.0009999999992942321,0,0,234.632,"","OK"
3002,107,0.0010000000002037268,0,0,236.936,"","OK"
3003,108,0,0,0,239.24,"","OK"
3004,109,0.0010000000002037268,0,0,241.544,"","OK"
3005,110,0.001999999999497959,0,0,243.848,"","OK"
3006,111,0,0,0,246.152,"","OK"
3007,112,0.0020000000004074536,0,0,248.456,"","OK"
3008,113,0.0010000000002037268,0,0,250.76,"","OK"
3009,114,0,0,0,253.064,"","OK"
3010,115,0.0010000000002037268,0,0,255.368,"","OK"
3011,116,0.001999999999497959,0,0,257.672,"","OK"
3012,117,0.0010000000002037268,0,0,259.976,"","OK"
3013,118,0.0010000000002037268,0,0,262.28,"","OK"
3014,119,0,0,0,264.584,"","OK"
3017,120,19.309000000000196,0,0,266.888,"","OK"
3018,121,0.0009999999992942321,0,0,269.192,"","OK"
3019,122,0.0010000000002037268,0,0,271.496,"","OK"
3020,123,0.0010000000002037268,0,0,273.8,"","OK"
3021,124,0.0010000000002037268,0,0,276.104,"","OK"
3022,125,0,0,0,278.408,"","OK"
3023,126,0.0009999999992942321,0,0,280.712,"","OK"
3024,127,0.0010000000002037268,0,0,283.016,"","OK"
3025,128,0,0,0,285.32,"","OK"
3026,129,0.0010000000002037268,0,0,287.624,"","OK"
3027,130,0,0,0,289.928,"","OK"
3028,131,0.0010000000002037268,0,0,292.232,"","OK"
3029,132,0.0010000000002037268,0,0,294.536,"","OK"
3030,133,0,0,0,296.84,"","OK"
3031,134,0.0009999999992942321,0,0,299.144,"","OK"
3032,135,0,0,0,300.112,"","OK"
3033,136,0.0010000000002037268,0,0,302.416,"","OK"
3034,137,0.0010000000002037268,0,0,304.72,"","OK"
3035,138,0.0010000000002037268,0,0,307.024,"","OK"
3036,139,0,0,0,309.328,"","OK"
3037,140,0.0009999999992942321,0,0,311.632,"","OK"
3038,141,0,0,0,313.936,"","OK"
3039,142,0.0010000000002037268,0,0,316.24,"","OK"
3040,143,0.0010000000002037268,0,0,318.544,"","OK"
3041,144,0,0,0,320.848,"","OK"
3042,145,0.0010000000002037268,0,0,323.152,"","OK"
3043,146,0.0010000000002037268,0,0,325.456,"","OK"
3044,147,0.0039999999999054126,0,0,327.76,"","OK"
3045,148,0.0009999999992942321,0,0,330.064,"","OK"
3046,149,0.0010000000002037268,0,0,332.368,"","OK"
3047,150,0.0010000000002037268,0,0,334.672,"","OK"
3048,151,0.0010000000002037268,0,0,336.976,"","OK"
3049,152,0.0010000000002037268,0,0,339.28,"","OK"
3050,153,0.0009999999992942321,0,0,341.584,"","OK"
3051,154,0.0010000000002037268,0,0,343.888,"","OK"
3052,155,0,0,0,346.192,"","OK"
3053,156,0.0010000000002037268,0,0,348.496,"","OK"
3054,157,0.0010000000002037268,0,0,350.8,"","OK"
3055,158,0.0009999999992942321,0,0,353.104,"","OK"
3056,159,0.0010000000002037268,0,0,355.408,"","OK"
3057,160,0.005000000000109139,0,0,357.712,"","OK"
3058,161,0,0,0,360.016,"","OK"
3059,162,0.0010000000002037268,0,0,362.32,"","OK"
3060,163,0.0009999999992942321,0,0,364.624,"","OK"
3061,164,0.0010000000002037268,0,0,366.928,"","OK"
3062,165,0,0,0,369.232,"","OK"
3063,166,0.0010000000002037268,0,0,371.536,"","OK"
3064,167,0.0010000000002037268,0,0,373.84,"","OK"
3065,168,0.0010000000002037268,0,0,376.144,"","OK"
3066,169,0,0,0,378.448,"","OK"
3067,170,0.0010000000002037268,0,0,380.752,"","OK"
3068,171,0.0009999999992942321,0,0,383.056,"","OK"
3069,172,0.0010000000002037268,0,0,385.36,"","OK"
3070,173,0,0,0,387.664,"","OK"
3071,174,0.0010000000002037268,0,0,389.968,"","OK"
3072,175,0.0009999999992942321,0,0,392.272,"","OK"
3073,176,0.0010000000002037268,0,0,394.576,"","OK"
3074,177,0,0,0,396.88,"","OK"
3094,178,28.677999999999884,0,0,399.184,"","OK"
3095,179,6.776000000000749,0,0,401.488,"","OK"
3096,180,0.0009999999992942321,0,0,403.792,"","OK"
3097,181,0.0010000000002037268,0,0,406.096,"","OK"
3098,182,0,0,0,408.4,"","OK"
3099,183,0.0010000000002037268,0,0,410.704,"","OK"
3100,184,0.0010000000002037268,0,0,413.008,"","OK"
3101,185,0.0010000000002037268,0,0,415.312,"","OK"
3102,186,0,0,0,417.616,"","OK"
3103,187,0.0009999999992942321,0,0,419.92,"","OK"
3104,188,0.0010000000002037268,0,0,421.72,"","OK"
