"Packet","Sequence","Delta (ms)","Jitter (ms)","Skew","Bandwidth","Marker","Status"
"192.168.0.7:61699 → 142.250.82.221:3478 (0xd1614263)"
3804,21320,0,0,0,7.288,"","OK"
3806,21321,11.403000000000247,0,0,14.56,"SET","OK"
3816,21322,26.255999999999403,0,0,21.976,"SET","OK"
3827,21323,66.59100000000035,0,0,30.872,"","OK"
3828,21324,0.027000000000043656,0,0,39.744,"SET","OK"
3829,21325,0.0019999999985884642,0,0,45.16,"SET","OK"
3836,21326,28.303000000001703,0,0,51.544,"","OK"
3839,21327,12.770999999998821,0,0,57.904,"SET","OK"
3841,21328,15.898000000001048,0,0,62.936,"SET","OK"
3844,21329,33.722999999999956,0,0,70.184,"","OK"
3845,21330,0.02599999999983993,0,0,77.408,"SET","OK"
3848,21331,32.66100000000006,0,0,80.84,"SET","OK"
3853,21332,34.46099999999933,0,0,86.728,"","OK"
3854,21333,0.02299999999922875,0,0,92.6,"SET","OK"
3857,21334,32.35200000000077,0,0,97.696,"SET","OK"
3860,21335,33.74799999999959,0,0,103.984,"SET","OK"
3864,21336,32.54100000000108,0,0,107.512,"SET","OK"
3870,21337,37.88199999999961,0,0,113.392,"","OK"
3871,21338,0.028000000000247383,0,0,119.256,"SET","OK"
3873,21339,28.922999999998865,0,0,123.36,"SET","OK"
3878,21340,33.61800000000039,0,0,129.44,"","OK"
3879,21341,0.010000000000218279,0,0,135.504,"SET","OK"
3888,21342,32.95900000000074,0,0,139.904,"SET","OK"
3894,21343,33.626000000000204,0,0,145.704,"","OK"
3895,21344,0.01599999999962165,0,0,151.48,"SET","OK"
3900,21345,32.779999999998836,0,0,155.4,"SET","OK"
3904,21346,33.884000000000015,0,0,162.296,"SET","OK"
3907,21347,32.78700000000026,0,0,166.04,"SET","OK"
3911,21348,34.66500000000087,0,0,172.888,"","OK"
3912,21349,0.024999999999636202,0,0,179.72,"SET","OK"
3915,21350,33.20899999999892,0,0,183.304,"SET","OK"
3918,21351,33.0630000000001,0,0,189.128,"","OK"
3919,21352,0.01900000000023283,0,0,194.928,"SET","OK"
3923,21353,32.13299999999981,0,0,198.328,"SET","OK"
3926,21354,34.1830000000009,0,0,203.872,"","OK"
3927,21355,0.016999999999825377,0,0,209.4,"SET","OK"
3930,21356,33.3690000000006,0,0,212.248,"SET","OK"
3934,21357,33.17900000000009,0,0,221.144,"SET","OK"
3937,21358,34.274999999999636,0,0,223.176,"SET","OK"
3940,21359,34.13799999999901,0,0,228.168,"SET","OK"
3945,21360,32.39000000000124,0,0,230.352,"SET","OK"
3950,21361,35.75699999999961,0,0,237.744,"","OK"
3951,21362,0.03800000000046566,0,0,245.12,"SET","OK"
3954,21363,33.03600000000006,0,0,233.32,"SET","OK"
3958,21364,33.17900000000009,0,0,235.192,"SET","OK"
3961,21365,31.701999999999316,0,0,238.472,"SET","OK"
3964,21366,35.965000000000146,0,0,223.656,"SET","OK"
3968,21367,32.66200000000026,0,0,209.24,"SET","OK"
3972,21368,33.350000000000364,0,0,204.696,"SET","OK"
3974,21369,33.237999999999374,0,0,204.496,"SET","OK"
3979,21370,33.90599999999904,0,0,198.152,"SET","OK"
3983,21371,33.70000000000073,0,0,196.416,"SET","OK"
3986,21372,33.108000000000175,0,0,197.68,"","OK"
3987,21373,0.037000000000261934,0,0,205.216,"SET","OK"
3991,21374,32.465000000000146,0,0,205.52,"SET","OK"
3995,21375,33.509000000000015,0,0,211.496,"SET","OK"
3997,21376,33.591999999998734,0,0,199.456,"SET","OK"
4001,21377,33.897000000000844,0,0,193.84,"","OK"
4002,21378,0.03900000000066939,0,0,200.344,"SET","OK"
4005,21379,31.823999999998705,0,0,199.352,"SET","OK"
4008,21380,34.28600000000006,0,0,192.696,"SET","OK"
4012,21381,32.585000000000946,0,0,192.072,"SET","OK"
4017,21382,33.84099999999853,0,0,192.384,"SET","OK"
4019,21383,32.655000000000655,0,0,192.792,"SET","OK"
